,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
236,2019-07-05,22:00:00,23.19,204.69,0,1,1,0,0
237,2019-07-05,22:30:00,22.94,196.81,0,1,1,0,0
238,2019-07-05,23:00:00,22.89,192.31,0,1,1,0,0
239,2019-07-05,23:30:00,22.77,192.31,0,1,1,0,0
240,2019-07-06,00:00:00,22.77,192.31,0,1,1,0,0
241,2019-07-06,00:30:00,22.79,160.8,0,1,1,0,0
242,2019-07-06,01:00:00,22.83,147.23,0,1,1,0,0
243,2019-07-06,01:30:00,22.91,129.43,0,1,1,0,0
244,2019-07-06,02:00:00,22.87,129.58,0,1,1,0,0
245,2019-07-06,02:30:00,22.76,129.8,0,1,1,0,0
246,2019-07-06,03:00:00,22.56,130.06,0,1,1,0,0
247,2019-07-06,03:30:00,22.51,151.11,0,1,1,0,0
248,2019-07-06,04:00:00,22.46,158.7,0,1,1,0,0
249,2019-07-06,04:30:00,22.34,153.35,0,1,1,0,0
250,2019-07-06,05:00:00,22.26,144.07,0,1,1,0,0
251,2019-07-06,05:30:00,22.5,151.68,0,1,1,0,0
252,2019-07-06,06:00:00,22.9,151.21,0,1,1,0,0
253,2019-07-06,06:30:00,23.36,150.64,0,1,1,0,0
254,2019-07-06,07:00:00,23.86,143.98,0,1,1,0,0
255,2019-07-06,07:30:00,24.53,147.14,0,1,1,0,0
256,2019-07-06,08:00:00,25.51,149.09,0,1,1,0,0
257,2019-07-06,08:30:00,26.23,150.66,0,1,1,0,0
258,2019-07-06,09:00:00,26.84,149.23,0,1,1,0,0
259,2019-07-06,09:30:00,27.64,129.37,0,1,1,0,0
260,2019-07-06,10:00:00,27.91,128.75,0,1,1,0,0
261,2019-07-06,10:30:00,28.53,141.05,0,1,1,0,0
262,2019-07-06,11:00:00,28.81,148.86,0,1,1,0,0
263,2019-07-06,11:30:00,28.91,151.59,0,1,1,0,0
264,2019-07-06,12:00:00,29.26,143.73,0,1,1,0,0
265,2019-07-06,12:30:00,29.39,197.2,0,1,1,0,0
266,2019-07-06,13:00:00,29.87,142.34,0,1,1,0,0
267,2019-07-06,13:30:00,29.94,196.81,0,1,1,0,0
